Site,Parameter,Date (LT),Year,Month,Day,Hour,NowCast Conc.,AQI,AQI Category,Raw Conc.,Conc. Unit,Duration,QC Name
Bamako,PM2.5 - Principal,2021-01-01 01:00 AM,2021,01,01,01,169.9,220,Very Unhealthy,147.0,UG/M3,1 Hr,Valid
Bamako,PM2.5 - Principal,2021-01-01 02:00 AM,2021,01,01,02,142.9,196,Unhealthy,116.0,UG/M3,1 Hr,Valid
Bamako,PM2.5 - Principal,2021-01-01 03:00 AM,2021,01,01,03,122.5,186,Unhealthy,102.0,UG/M3,1 Hr,Valid
Bamako,PM2.5 - Principal,2021-01-01 04:00 AM,2021,01,01,04,98.2,173,Unhealthy,74.0,UG/M3,1 Hr,Valid
Bamako,PM2.5 - Principal,2021-01-01 05:00 AM,2021,01,01,05,76.6,162,Unhealthy,55.0,UG/M3,1 Hr,Valid
Bamako,PM2.5 - Principal,2021-01-01 06:00 AM,2021,01,01,06,64.8,156,Unhealthy,53.0,UG/M3,1 Hr,Valid
Bamako,PM2.5 - Principal,2021-01-01 07:00 AM,2021,01,01,07,59.4,153,Unhealthy,54.0,UG/M3,1 Hr,Valid
Bamako,PM2.5 - Principal,2021-01-01 08:00 AM,2021,01,01,08,64.1,155,Unhealthy,69.0,UG/M3,1 Hr,Valid
Bamako,PM2.5 - Principal,2021-01-01 09:00 AM,2021,01,01,09,85.5,166,Unhealthy,107.0,UG/M3,1 Hr,Valid
Bamako,PM2.5 - Principal,2021-01-01 10:00 AM,2021,01,01,10,71.7,159,Unhealthy,58.0,UG/M3,1 Hr,Valid
Bamako,PM2.5 - Principal,2021-01-01 11:00 AM,2021,01,01,11,67.3,157,Unhealthy,63.0,UG/M3,1 Hr,Valid
Bamako,PM2.5 - Principal,2021-01-01 12:00 PM,2021,01,01,12,52.6,143,Unhealthy for Sensitive Groups,38.0,UG/M3,1 Hr,Valid
Bamako,PM2.5 - Principal,2021-01-01 01:00 PM,2021,01,01,13,34.8,99,Moderate,17.0,UG/M3,1 Hr,Valid
Bamako,PM2.5 - Principal,2021-01-01 02:00 PM,2021,01,01,14,27.3,83,Moderate,20.0,UG/M3,1 Hr,Valid
Bamako,PM2.5 - Principal,2021-01-01 03:00 PM,2021,01,01,15,26.6,81,Moderate,26.0,UG/M3,1 Hr,Valid
Bamako,PM2.5 - Principal,2021-01-01 04:00 PM,2021,01,01,16,19.8,67,Moderate,13.0,UG/M3,1 Hr,Valid
Bamako,PM2.5 - Principal,2021-01-01 05:00 PM,2021,01,01,17,15.9,59,Moderate,12.0,UG/M3,1 Hr,Valid
Bamako,PM2.5 - Principal,2021-01-01 06:00 PM,2021,01,01,18,17.4,62,Moderate,19.0,UG/M3,1 Hr,Valid
Bamako,PM2.5 - Principal,2021-01-01 07:00 PM,2021,01,01,19,31.7,92,Moderate,46.0,UG/M3,1 Hr,Valid
Bamako,PM2.5 - Principal,2021-01-01 08:00 PM,2021,01,01,20,78.8,163,Unhealthy,126.0,UG/M3,1 Hr,Valid
Bamako,PM2.5 - Principal,2021-01-01 09:00 PM,2021,01,01,21,147.9,199,Unhealthy,217.0,UG/M3,1 Hr,Valid
Bamako,PM2.5 - Principal,2021-01-01 10:00 PM,2021,01,01,22,143.4,196,Unhealthy,139.0,UG/M3,1 Hr,Valid
Bamako,PM2.5 - Principal,2021-01-01 11:00 PM,2021,01,01,23,106.2,177,Unhealthy,69.0,UG/M3,1 Hr,Valid
Bamako,PM2.5 - Principal,2021-01-02 12:00 AM,2021,01,02,00,94.1,171,Unhealthy,82.0,UG/M3,1 Hr,Valid
Bamako,PM2.5 - Principal,2021-01-02 01:00 AM,2021,01,02,01,75.0,161,Unhealthy,56.0,UG/M3,1 Hr,Valid
Bamako,PM2.5 - Principal,2021-01-02 02:00 AM,2021,01,02,02,61.0,154,Unhealthy,47.0,UG/M3,1 Hr,Valid
Bamako,PM2.5 - Principal,2021-01-02 03:00 AM,2021,01,02,03,59.5,153,Unhealthy,58.0,UG/M3,1 Hr,Valid
Bamako,PM2.5 - Principal,2021-01-02 04:00 AM,2021,01,02,04,43.7,121,Unhealthy for Sensitive Groups,28.0,UG/M3,1 Hr,Valid
Bamako,PM2.5 - Principal,2021-01-02 05:00 AM,2021,01,02,05,30.3,89,Moderate,17.0,UG/M3,1 Hr,Valid
Bamako,PM2.5 - Principal,2021-01-02 06:00 AM,2021,01,02,06,24.1,76,Moderate,18.0,UG/M3,1 Hr,Valid
Bamako,PM2.5 - Principal,2021-01-02 07:00 AM,2021,01,02,07,22.5,73,Moderate,21.0,UG/M3,1 Hr,Valid
Bamako,PM2.5 - Principal,2021-01-02 08:00 AM,2021,01,02,08,31.7,92,Moderate,41.0,UG/M3,1 Hr,Valid
Bamako,PM2.5 - Principal,2021-01-02 09:00 AM,2021,01,02,09,34.8,99,Moderate,38.0,UG/M3,1 Hr,Valid
Bamako,PM2.5 - Principal,2021-01-02 10:00 AM,2021,01,02,10,42.9,119,Unhealthy for Sensitive Groups,51.0,UG/M3,1 Hr,Valid
Bamako,PM2.5 - Principal,2021-01-02 11:00 AM,2021,01,02,11,38.9,109,Unhealthy for Sensitive Groups,35.0,UG/M3,1 Hr,Valid
Bamako,PM2.5 - Principal,2021-01-02 12:00 PM,2021,01,02,12,35.4,100,Moderate,32.0,UG/M3,1 Hr,Valid
Bamako,PM2.5 - Principal,2021-01-02 01:00 PM,2021,01,02,13,31.2,91,Moderate,27.0,UG/M3,1 Hr,Valid
Bamako,PM2.5 - Principal,2021-01-02 02:00 PM,2021,01,02,14,24.6,77,Moderate,18.0,UG/M3,1 Hr,Valid
Bamako,PM2.5 - Principal,2021-01-02 03:00 PM,2021,01,02,15,21.8,71,Moderate,19.0,UG/M3,1 Hr,Valid
Bamako,PM2.5 - Principal,2021-01-02 04:00 PM,2021,01,02,16,21.9,72,Moderate,22.0,UG/M3,1 Hr,Valid
Bamako,PM2.5 - Principal,2021-01-02 05:00 PM,2021,01,02,17,20.4,68,Moderate,19.0,UG/M3,1 Hr,Valid
Bamako,PM2.5 - Principal,2021-01-02 06:00 PM,2021,01,02,18,25.2,79,Moderate,30.0,UG/M3,1 Hr,Valid
Bamako,PM2.5 - Principal,2021-01-02 07:00 PM,2021,01,02,19,47.6,131,Unhealthy for Sensitive Groups,70.0,UG/M3,1 Hr,Valid
Bamako,PM2.5 - Principal,2021-01-02 08:00 PM,2021,01,02,20,188.8,239,Very Unhealthy,330.0,UG/M3,1 Hr,Valid
Bamako,PM2.5 - Principal,2021-01-02 09:00 PM,2021,01,02,21,252.9,303,Hazardous,317.0,UG/M3,1 Hr,Valid
Bamako,PM2.5 - Principal,2021-01-02 10:00 PM,2021,01,02,22,188.9,239,Very Unhealthy,125.0,UG/M3,1 Hr,Valid
Bamako,PM2.5 - Principal,2021-01-02 11:00 PM,2021,01,02,23,121.9,185,Unhealthy,55.0,UG/M3,1 Hr,Valid
Bamako,PM2.5 - Principal,2021-01-03 12:00 AM,2021,01,03,00,87.5,168,Unhealthy,53.0,UG/M3,1 Hr,Valid
Bamako,PM2.5 - Principal,2021-01-03 01:00 AM,2021,01,03,01,72.7,160,Unhealthy,58.0,UG/M3,1 Hr,Valid
Bamako,PM2.5 - Principal,2021-01-03 02:00 AM,2021,01,03,02,57.3,152,Unhealthy,42.0,UG/M3,1 Hr,Valid
Bamako,PM2.5 - Principal,2021-01-03 03:00 AM,2021,01,03,03,45.6,126,Unhealthy for Sensitive Groups,34.0,UG/M3,1 Hr,Valid
Bamako,PM2.5 - Principal,2021-01-03 04:00 AM,2021,01,03,04,38.8,109,Unhealthy for Sensitive Groups,32.0,UG/M3,1 Hr,Valid
Bamako,PM2.5 - Principal,2021-01-03 05:00 AM,2021,01,03,05,36.4,103,Unhealthy for Sensitive Groups,34.0,UG/M3,1 Hr,Valid
Bamako,PM2.5 - Principal,2021-01-03 06:00 AM,2021,01,03,06,36.7,104,Unhealthy for Sensitive Groups,37.0,UG/M3,1 Hr,Valid
Bamako,PM2.5 - Principal,2021-01-03 07:00 AM,2021,01,03,07,42.8,119,Unhealthy for Sensitive Groups,49.0,UG/M3,1 Hr,Valid
Bamako,PM2.5 - Principal,2021-01-03 08:00 AM,2021,01,03,08,58.8,153,Unhealthy,75.0,UG/M3,1 Hr,Valid
Bamako,PM2.5 - Principal,2021-01-03 09:00 AM,2021,01,03,09,53.9,146,Unhealthy for Sensitive Groups,49.0,UG/M3,1 Hr,Valid
Bamako,PM2.5 - Principal,2021-01-03 10:00 AM,2021,01,03,10,46.9,129,Unhealthy for Sensitive Groups,40.0,UG/M3,1 Hr,Valid
Bamako,PM2.5 - Principal,2021-01-03 11:00 AM,2021,01,03,11,52.4,143,Unhealthy for Sensitive Groups,58.0,UG/M3,1 Hr,Valid
Bamako,PM2.5 - Principal,2021-01-03 12:00 PM,2021,01,03,12,42.7,119,Unhealthy for Sensitive Groups,33.0,UG/M3,1 Hr,Valid
Bamako,PM2.5 - Principal,2021-01-03 01:00 PM,2021,01,03,13,39.3,110,Unhealthy for Sensitive Groups,36.0,UG/M3,1 Hr,Valid
Bamako,PM2.5 - Principal,2021-01-03 02:00 PM,2021,01,03,14,35.1,99,Moderate,31.0,UG/M3,1 Hr,Valid
Bamako,PM2.5 - Principal,2021-01-03 03:00 PM,2021,01,03,15,29.5,88,Moderate,24.0,UG/M3,1 Hr,Valid
Bamako,PM2.5 - Principal,2021-01-03 04:00 PM,2021,01,03,16,27.2,83,Moderate,25.0,UG/M3,1 Hr,Valid
Bamako,PM2.5 - Principal,2021-01-03 05:00 PM,2021,01,03,17,31.6,92,Moderate,36.0,UG/M3,1 Hr,Valid
Bamako,PM2.5 - Principal,2021-01-03 06:00 PM,2021,01,03,18,42.3,118,Unhealthy for Sensitive Groups,53.0,UG/M3,1 Hr,Valid
Bamako,PM2.5 - Principal,2021-01-03 07:00 PM,2021,01,03,19,61.1,154,Unhealthy,80.0,UG/M3,1 Hr,Valid
Bamako,PM2.5 - Principal,2021-01-03 08:00 PM,2021,01,03,20,104.0,176,Unhealthy,147.0,UG/M3,1 Hr,Valid
Bamako,PM2.5 - Principal,2021-01-03 09:00 PM,2021,01,03,21,150.0,200,Unhealthy,196.0,UG/M3,1 Hr,Valid
Bamako,PM2.5 - Principal,2021-01-03 10:00 PM,2021,01,03,22,137.0,193,Unhealthy,124.0,UG/M3,1 Hr,Valid
Bamako,PM2.5 - Principal,2021-01-03 11:00 PM,2021,01,03,23,102.0,175,Unhealthy,67.0,UG/M3,1 Hr,Valid
Bamako,PM2.5 - Principal,2021-01-04 12:00 AM,2021,01,04,00,81.0,164,Unhealthy,60.0,UG/M3,1 Hr,Valid
Bamako,PM2.5 - Principal,2021-01-04 01:00 AM,2021,01,04,01,60.5,154,Unhealthy,40.0,UG/M3,1 Hr,Valid
Bamako,PM2.5 - Principal,2021-01-04 02:00 AM,2021,01,04,02,43.7,121,Unhealthy for Sensitive Groups,27.0,UG/M3,1 Hr,Valid
Bamako,PM2.5 - Principal,2021-01-04 03:00 AM,2021,01,04,03,34.3,98,Moderate,25.0,UG/M3,1 Hr,Valid
Bamako,PM2.5 - Principal,2021-01-04 04:00 AM,2021,01,04,04,29.6,88,Moderate,25.0,UG/M3,1 Hr,Valid
Bamako,PM2.5 - Principal,2021-01-04 05:00 AM,2021,01,04,05,23.8,76,Moderate,18.0,UG/M3,1 Hr,Valid
Bamako,PM2.5 - Principal,2021-01-04 06:00 AM,2021,01,04,06,19.9,67,Moderate,16.0,UG/M3,1 Hr,Valid
Bamako,PM2.5 - Principal,2021-01-04 07:00 AM,2021,01,04,07,20.9,70,Moderate,22.0,UG/M3,1 Hr,Valid
Bamako,PM2.5 - Principal,2021-01-04 08:00 AM,2021,01,04,08,25.4,79,Moderate,30.0,UG/M3,1 Hr,Valid
Bamako,PM2.5 - Principal,2021-01-04 09:00 AM,2021,01,04,09,30.2,89,Moderate,35.0,UG/M3,1 Hr,Valid
Bamako,PM2.5 - Principal,2021-01-04 10:00 AM,2021,01,04,10,30.5,90,Moderate,31.0,UG/M3,1 Hr,Valid
Bamako,PM2.5 - Principal,2021-01-04 11:00 AM,2021,01,04,11,31.2,91,Moderate,32.0,UG/M3,1 Hr,Valid
Bamako,PM2.5 - Principal,2021-01-04 12:00 PM,2021,01,04,12,31.1,91,Moderate,31.0,UG/M3,1 Hr,Valid
Bamako,PM2.5 - Principal,2021-01-04 01:00 PM,2021,01,04,13,28.0,84,Moderate,25.0,UG/M3,1 Hr,Valid
Bamako,PM2.5 - Principal,2021-01-04 02:00 PM,2021,01,04,14,26.0,80,Moderate,24.0,UG/M3,1 Hr,Valid
Bamako,PM2.5 - Principal,2021-01-04 03:00 PM,2021,01,04,15,25.0,78,Moderate,24.0,UG/M3,1 Hr,Valid
Bamako,PM2.5 - Principal,2021-01-04 04:00 PM,2021,01,04,16,26.0,80,Moderate,27.0,UG/M3,1 Hr,Valid
Bamako,PM2.5 - Principal,2021-01-04 05:00 PM,2021,01,04,17,24.0,76,Moderate,22.0,UG/M3,1 Hr,Valid
Bamako,PM2.5 - Principal,2021-01-04 06:00 PM,2021,01,04,18,24.0,76,Moderate,23.0,UG/M3,1 Hr,Valid
Bamako,PM2.5 - Principal,2021-01-04 07:00 PM,2021,01,04,19,37.2,105,Unhealthy for Sensitive Groups,51.0,UG/M3,1 Hr,Valid
Bamako,PM2.5 - Principal,2021-01-04 08:00 PM,2021,01,04,20,50.6,138,Unhealthy for Sensitive Groups,64.0,UG/M3,1 Hr,Valid
Bamako,PM2.5 - Principal,2021-01-04 09:00 PM,2021,01,04,21,54.3,147,Unhealthy for Sensitive Groups,58.0,UG/M3,1 Hr,Valid
Bamako,PM2.5 - Principal,2021-01-04 10:00 PM,2021,01,04,22,67.1,157,Unhealthy,80.0,UG/M3,1 Hr,Valid
Bamako,PM2.5 - Principal,2021-01-04 11:00 PM,2021,01,04,23,69.5,158,Unhealthy,72.0,UG/M3,1 Hr,Valid
Bamako,PM2.5 - Principal,2021-01-05 12:00 AM,2021,01,05,00,48.7,134,Unhealthy for Sensitive Groups,28.0,UG/M3,1 Hr,Valid
Bamako,PM2.5 - Principal,2021-01-05 01:00 AM,2021,01,05,01,35.8,102,Unhealthy for Sensitive Groups,23.0,UG/M3,1 Hr,Valid
Bamako,PM2.5 - Principal,2021-01-05 02:00 AM,2021,01,05,02,26.4,81,Moderate,17.0,UG/M3,1 Hr,Valid
Bamako,PM2.5 - Principal,2021-01-05 03:00 AM,2021,01,05,03,21.7,71,Moderate,17.0,UG/M3,1 Hr,Valid
Bamako,PM2.5 - Principal,2021-01-05 04:00 AM,2021,01,05,04,17.8,63,Moderate,14.0,UG/M3,1 Hr,Valid
Bamako,PM2.5 - Principal,2021-01-05 05:00 AM,2021,01,05,05,14.9,57,Moderate,12.0,UG/M3,1 Hr,Valid
Bamako,PM2.5 - Principal,2021-01-05 06:00 AM,2021,01,05,06,12.4,52,Moderate,10.0,UG/M3,1 Hr,Valid
Bamako,PM2.5 - Principal,2021-01-05 07:00 AM,2021,01,05,07,12.2,51,Moderate,12.0,UG/M3,1 Hr,Valid
Bamako,PM2.5 - Principal,2021-01-05 08:00 AM,2021,01,05,08,20.6,69,Moderate,29.0,UG/M3,1 Hr,Valid
Bamako,PM2.5 - Principal,2021-01-05 09:00 AM,2021,01,05,09,26.8,82,Moderate,33.0,UG/M3,1 Hr,Valid
Bamako,PM2.5 - Principal,2021-01-05 10:00 AM,2021,01,05,10,30.8,90,Moderate,35.0,UG/M3,1 Hr,Valid
Bamako,PM2.5 - Principal,2021-01-05 11:00 AM,2021,01,05,11,27.4,83,Moderate,24.0,UG/M3,1 Hr,Valid
Bamako,PM2.5 - Principal,2021-01-05 12:00 PM,2021,01,05,12,25.7,80,Moderate,24.0,UG/M3,1 Hr,Valid
Bamako,PM2.5 - Principal,2021-01-05 01:00 PM,2021,01,05,13,21.3,70,Moderate,17.0,UG/M3,1 Hr,Valid
Bamako,PM2.5 - Principal,2021-01-05 02:00 PM,2021,01,05,14,21.1,70,Moderate,21.0,UG/M3,1 Hr,Valid
Bamako,PM2.5 - Principal,2021-01-05 03:00 PM,2021,01,05,15,23.0,74,Moderate,25.0,UG/M3,1 Hr,Valid
Bamako,PM2.5 - Principal,2021-01-05 04:00 PM,2021,01,05,16,21.5,71,Moderate,20.0,UG/M3,1 Hr,Valid
Bamako,PM2.5 - Principal,2021-01-05 05:00 PM,2021,01,05,17,23.7,75,Moderate,26.0,UG/M3,1 Hr,Valid
Bamako,PM2.5 - Principal,2021-01-05 06:00 PM,2021,01,05,18,28.8,86,Moderate,34.0,UG/M3,1 Hr,Valid
Bamako,PM2.5 - Principal,2021-01-05 07:00 PM,2021,01,05,19,52.4,143,Unhealthy for Sensitive Groups,76.0,UG/M3,1 Hr,Valid
Bamako,PM2.5 - Principal,2021-01-05 08:00 PM,2021,01,05,20,73.2,160,Unhealthy,94.0,UG/M3,1 Hr,Valid
Bamako,PM2.5 - Principal,2021-01-05 09:00 PM,2021,01,05,21,60.1,153,Unhealthy,47.0,UG/M3,1 Hr,Valid
Bamako,PM2.5 - Principal,2021-01-05 10:00 PM,2021,01,05,22,43.5,121,Unhealthy for Sensitive Groups,27.0,UG/M3,1 Hr,Valid
Bamako,PM2.5 - Principal,2021-01-05 11:00 PM,2021,01,05,23,33.2,95,Moderate,23.0,UG/M3,1 Hr,Valid
Bamako,PM2.5 - Principal,2021-01-06 12:00 AM,2021,01,06,00,29.6,88,Moderate,26.0,UG/M3,1 Hr,Valid
Bamako,PM2.5 - Principal,2021-01-06 01:00 AM,2021,01,06,01,36.3,103,Unhealthy for Sensitive Groups,43.0,UG/M3,1 Hr,Valid
Bamako,PM2.5 - Principal,2021-01-06 02:00 AM,2021,01,06,02,30.1,89,Moderate,24.0,UG/M3,1 Hr,Valid
Bamako,PM2.5 - Principal,2021-01-06 03:00 AM,2021,01,06,03,23.5,75,Moderate,17.0,UG/M3,1 Hr,Valid
Bamako,PM2.5 - Principal,2021-01-06 04:00 AM,2021,01,06,04,18.7,65,Moderate,14.0,UG/M3,1 Hr,Valid
Bamako,PM2.5 - Principal,2021-01-06 05:00 AM,2021,01,06,05,20.3,68,Moderate,22.0,UG/M3,1 Hr,Valid
Bamako,PM2.5 - Principal,2021-01-06 06:00 AM,2021,01,06,06,21.6,71,Moderate,23.0,UG/M3,1 Hr,Valid
Bamako,PM2.5 - Principal,2021-01-06 07:00 AM,2021,01,06,07,29.3,87,Moderate,37.0,UG/M3,1 Hr,Valid
Bamako,PM2.5 - Principal,2021-01-06 08:00 AM,2021,01,06,08,31.6,92,Moderate,34.0,UG/M3,1 Hr,Valid
Bamako,PM2.5 - Principal,2021-01-06 09:00 AM,2021,01,06,09,31.3,91,Moderate,31.0,UG/M3,1 Hr,Valid
Bamako,PM2.5 - Principal,2021-01-06 10:00 AM,2021,01,06,10,31.6,92,Moderate,32.0,UG/M3,1 Hr,Valid
Bamako,PM2.5 - Principal,2021-01-06 11:00 AM,2021,01,06,11,29.3,87,Moderate,27.0,UG/M3,1 Hr,Valid
Bamako,PM2.5 - Principal,2021-01-06 12:00 PM,2021,01,06,12,26.1,80,Moderate,23.0,UG/M3,1 Hr,Valid
Bamako,PM2.5 - Principal,2021-01-06 01:00 PM,2021,01,06,13,22.0,72,Moderate,18.0,UG/M3,1 Hr,Valid
Bamako,PM2.5 - Principal,2021-01-06 02:00 PM,2021,01,06,14,19.5,67,Moderate,17.0,UG/M3,1 Hr,Valid
Bamako,PM2.5 - Principal,2021-01-06 03:00 PM,2021,01,06,15,19.2,66,Moderate,19.0,UG/M3,1 Hr,Valid
Bamako,PM2.5 - Principal,2021-01-06 04:00 PM,2021,01,06,16,20.6,69,Moderate,22.0,UG/M3,1 Hr,Valid
Bamako,PM2.5 - Principal,2021-01-06 05:00 PM,2021,01,06,17,19.8,67,Moderate,19.0,UG/M3,1 Hr,Valid
Bamako,PM2.5 - Principal,2021-01-06 06:00 PM,2021,01,06,18,20.9,70,Moderate,22.0,UG/M3,1 Hr,Valid
Bamako,PM2.5 - Principal,2021-01-06 07:00 PM,2021,01,06,19,28.4,85,Moderate,36.0,UG/M3,1 Hr,Valid
Bamako,PM2.5 - Principal,2021-01-06 08:00 PM,2021,01,06,20,44.2,122,Unhealthy for Sensitive Groups,60.0,UG/M3,1 Hr,Valid
Bamako,PM2.5 - Principal,2021-01-06 09:00 PM,2021,01,06,21,48.6,133,Unhealthy for Sensitive Groups,53.0,UG/M3,1 Hr,Valid
Bamako,PM2.5 - Principal,2021-01-06 10:00 PM,2021,01,06,22,44.3,123,Unhealthy for Sensitive Groups,40.0,UG/M3,1 Hr,Valid
Bamako,PM2.5 - Principal,2021-01-06 11:00 PM,2021,01,06,23,34.6,98,Moderate,25.0,UG/M3,1 Hr,Valid
Bamako,PM2.5 - Principal,2021-01-07 12:00 AM,2021,01,07,00,32.8,95,Moderate,31.0,UG/M3,1 Hr,Valid
Bamako,PM2.5 - Principal,2021-01-07 01:00 AM,2021,01,07,01,22.9,74,Moderate,13.0,UG/M3,1 Hr,Valid
Bamako,PM2.5 - Principal,2021-01-07 02:00 AM,2021,01,07,02,18.4,64,Moderate,14.0,UG/M3,1 Hr,Valid
Bamako,PM2.5 - Principal,2021-01-07 03:00 AM,2021,01,07,03,15.2,58,Moderate,12.0,UG/M3,1 Hr,Valid
Bamako,PM2.5 - Principal,2021-01-07 04:00 AM,2021,01,07,04,13.1,53,Moderate,11.0,UG/M3,1 Hr,Valid
Bamako,PM2.5 - Principal,2021-01-07 05:00 AM,2021,01,07,05,11.5,48,Good,10.0,UG/M3,1 Hr,Valid
Bamako,PM2.5 - Principal,2021-01-07 06:00 AM,2021,01,07,06,13.2,53,Moderate,15.0,UG/M3,1 Hr,Valid
Bamako,PM2.5 - Principal,2021-01-07 07:00 AM,2021,01,07,07,14.6,56,Moderate,16.0,UG/M3,1 Hr,Valid
Bamako,PM2.5 - Principal,2021-01-07 08:00 AM,2021,01,07,08,21.8,71,Moderate,29.0,UG/M3,1 Hr,Valid
Bamako,PM2.5 - Principal,2021-01-07 09:00 AM,2021,01,07,09,29.9,88,Moderate,38.0,UG/M3,1 Hr,Valid
Bamako,PM2.5 - Principal,2021-01-07 10:00 AM,2021,01,07,10,36.4,103,Unhealthy for Sensitive Groups,43.0,UG/M3,1 Hr,Valid
Bamako,PM2.5 - Principal,2021-01-07 11:00 AM,2021,01,07,11,41.7,116,Unhealthy for Sensitive Groups,47.0,UG/M3,1 Hr,Valid
Bamako,PM2.5 - Principal,2021-01-07 12:00 PM,2021,01,07,12,31.3,91,Moderate,21.0,UG/M3,1 Hr,Valid
Bamako,PM2.5 - Principal,2021-01-07 01:00 PM,2021,01,07,13,22.1,72,Moderate,13.0,UG/M3,1 Hr,Valid
Bamako,PM2.5 - Principal,2021-01-07 02:00 PM,2021,01,07,14,19.0,66,Moderate,16.0,UG/M3,1 Hr,Valid
Bamako,PM2.5 - Principal,2021-01-07 03:00 PM,2021,01,07,15,16.0,59,Moderate,13.0,UG/M3,1 Hr,Valid
Bamako,PM2.5 - Principal,2021-01-07 04:00 PM,2021,01,07,16,14.5,56,Moderate,13.0,UG/M3,1 Hr,Valid
Bamako,PM2.5 - Principal,2021-01-07 05:00 PM,2021,01,07,17,16.2,60,Moderate,18.0,UG/M3,1 Hr,Valid
Bamako,PM2.5 - Principal,2021-01-07 06:00 PM,2021,01,07,18,21.1,70,Moderate,26.0,UG/M3,1 Hr,Valid
Bamako,PM2.5 - Principal,2021-01-07 07:00 PM,2021,01,07,19,31.0,91,Moderate,41.0,UG/M3,1 Hr,Valid
Bamako,PM2.5 - Principal,2021-01-07 08:00 PM,2021,01,07,20,95.5,172,Unhealthy,160.0,UG/M3,1 Hr,Valid
Bamako,PM2.5 - Principal,2021-01-07 09:00 PM,2021,01,07,21,155.7,206,Very Unhealthy,216.0,UG/M3,1 Hr,Valid
Bamako,PM2.5 - Principal,2021-01-07 10:00 PM,2021,01,07,22,179.4,230,Very Unhealthy,203.0,UG/M3,1 Hr,Valid
Bamako,PM2.5 - Principal,2021-01-07 11:00 PM,2021,01,07,23,167.2,218,Very Unhealthy,155.0,UG/M3,1 Hr,Valid
Bamako,PM2.5 - Principal,2021-01-08 12:00 AM,2021,01,08,00,144.6,197,Unhealthy,122.0,UG/M3,1 Hr,Valid
Bamako,PM2.5 - Principal,2021-01-08 01:00 AM,2021,01,08,01,108.8,179,Unhealthy,73.0,UG/M3,1 Hr,Valid
Bamako,PM2.5 - Principal,2021-01-08 02:00 AM,2021,01,08,02,80.9,164,Unhealthy,53.0,UG/M3,1 Hr,Valid
Bamako,PM2.5 - Principal,2021-01-08 03:00 AM,2021,01,08,03,66.4,157,Unhealthy,52.0,UG/M3,1 Hr,Valid
Bamako,PM2.5 - Principal,2021-01-08 04:00 AM,2021,01,08,04,55.2,150,Unhealthy for Sensitive Groups,44.0,UG/M3,1 Hr,Valid
Bamako,PM2.5 - Principal,2021-01-08 05:00 AM,2021,01,08,05,46.1,127,Unhealthy for Sensitive Groups,37.0,UG/M3,1 Hr,Valid
Bamako,PM2.5 - Principal,2021-01-08 06:00 AM,2021,01,08,06,44.0,122,Unhealthy for Sensitive Groups,42.0,UG/M3,1 Hr,Valid
Bamako,PM2.5 - Principal,2021-01-08 07:00 AM,2021,01,08,07,46.0,127,Unhealthy for Sensitive Groups,48.0,UG/M3,1 Hr,Valid
Bamako,PM2.5 - Principal,2021-01-08 08:00 AM,2021,01,08,08,75.0,161,Unhealthy,104.0,UG/M3,1 Hr,Valid
Bamako,PM2.5 - Principal,2021-01-08 09:00 AM,2021,01,08,09,115.9,182,Unhealthy,157.0,UG/M3,1 Hr,Valid
Bamako,PM2.5 - Principal,2021-01-08 10:00 AM,2021,01,08,10,111.4,180,Unhealthy,107.0,UG/M3,1 Hr,Valid
Bamako,PM2.5 - Principal,2021-01-08 11:00 AM,2021,01,08,11,91.7,170,Unhealthy,72.0,UG/M3,1 Hr,Valid
Bamako,PM2.5 - Principal,2021-01-08 12:00 PM,2021,01,08,12,74.8,161,Unhealthy,58.0,UG/M3,1 Hr,Valid
Bamako,PM2.5 - Principal,2021-01-08 01:00 PM,2021,01,08,13,49.9,136,Unhealthy for Sensitive Groups,25.0,UG/M3,1 Hr,Valid
