Site,Parameter,Date (LT),Year,Month,Day,Hour,NowCast Conc.,AQI,AQI Category,Raw Conc.,Conc. Unit,Duration,QC Name
Bamako,PM2.5 - Principal,2020-01-01 01:00 AM,2020,01,01,01,33.6,96,Moderate,30.0,UG/M3,1 Hr,Valid
Bamako,PM2.5 - Principal,2020-01-01 02:00 AM,2020,01,01,02,27.3,83,Moderate,21.0,UG/M3,1 Hr,Valid
Bamako,PM2.5 - Principal,2020-01-01 03:00 AM,2020,01,01,03,24.6,77,Moderate,22.0,UG/M3,1 Hr,Valid
Bamako,PM2.5 - Principal,2020-01-01 04:00 AM,2020,01,01,04,22.3,72,Moderate,20.0,UG/M3,1 Hr,Valid
Bamako,PM2.5 - Principal,2020-01-01 05:00 AM,2020,01,01,05,20.1,68,Moderate,18.0,UG/M3,1 Hr,Valid
Bamako,PM2.5 - Principal,2020-01-01 06:00 AM,2020,01,01,06,20.1,68,Moderate,-999.0,UG/M3,1 Hr,Missing
Bamako,PM2.5 - Principal,2020-01-01 07:00 AM,2020,01,01,07,18.0,63,Moderate,17.0,UG/M3,1 Hr,Valid
Bamako,PM2.5 - Principal,2020-01-01 08:00 AM,2020,01,01,08,20.8,69,Moderate,23.0,UG/M3,1 Hr,Valid
Bamako,PM2.5 - Principal,2020-01-01 09:00 AM,2020,01,01,09,25.7,80,Moderate,30.0,UG/M3,1 Hr,Valid
Bamako,PM2.5 - Principal,2020-01-01 10:00 AM,2020,01,01,10,28.4,85,Moderate,31.0,UG/M3,1 Hr,Valid
Bamako,PM2.5 - Principal,2020-01-01 11:00 AM,2020,01,01,11,27.5,83,Moderate,27.0,UG/M3,1 Hr,Valid
Bamako,PM2.5 - Principal,2020-01-01 12:00 PM,2020,01,01,12,30.8,90,Moderate,34.0,UG/M3,1 Hr,Valid
Bamako,PM2.5 - Principal,2020-01-01 01:00 PM,2020,01,01,13,25.9,80,Moderate,21.0,UG/M3,1 Hr,Valid
