Date,WUSTL,AirNow,MERRA-2
2019-10-10,22.125806070143177,0.5476190476190477,21.08392589406094
2019-10-11,22.206451231433498,1.325,31.661477351008216
2019-10-13,22.367741554014145,0.24000000000000005,10.89254277886198
2019-10-14,22.448386715304466,0.2777777777777778,16.271808611634242
2019-10-15,22.52903187659479,0.28500000000000003,36.037282313827745
2019-10-16,22.609677037885113,21.395238095238096,54.9216998990687
2019-10-17,22.690322199175434,45.012499999999996,47.96940977769282
2019-10-18,22.770967360465757,40.43333333333333,43.55517191356739
2019-10-19,22.85161252175608,51.458333333333336,50.62028769486915
2019-10-20,22.9322576830464,55.19166666666666,58.6912278777163
2019-10-21,23.012902844336725,44.06666666666666,59.78922033023082
2019-10-22,23.09354800562705,39.324999999999996,23.382807512462023
2019-10-23,23.17419316691737,37.608333333333334,30.801411909919807
2019-10-24,23.254838328207693,38.675000000000004,39.93289183767956
2019-10-25,23.335483489498017,30.008333333333336,41.631398417507626
2019-10-26,23.416128650788337,51.24583333333334,52.627124347282006
2019-10-27,23.49677381207866,64.55833333333334,69.38366041708832
2019-10-28,23.577418973368985,75.93333333333334,61.70706186026109
2019-10-29,23.658064134659305,69.85000000000001,58.32802472127696
2019-10-30,23.73870929594963,52.2125,47.57255211984557
2019-10-31,23.81935445723995,50.62916666666666,49.9446809243409
2019-11-01,23.899999618530273,24.075,47.957986026858634
2019-11-02,24.2399995803833,54.64782608695653,39.933288675797485
2019-11-03,24.57999954223633,55.56666666666666,55.823015188138925
2019-11-04,24.919999504089354,61.973684210526315,31.625240737298554
2019-11-05,25.259999465942382,121.55833333333334,32.94431429878841
2019-11-06,25.59999942779541,115.05000000000001,39.39850010681312
2019-11-07,25.939999389648438,87.96249999999999,39.72988231737418
2019-11-08,26.279999351501466,78.79166666666667,33.38471614711125
2019-11-09,26.61999931335449,80.30416666666666,40.28663660449183
2019-11-10,26.95999927520752,72.86666666666666,43.05035652407696
2019-11-11,27.299999237060547,92.74166666666667,42.252808185594404
2019-11-12,27.639999198913575,58.25,51.34275831153445
2019-11-13,27.979999160766603,66.54166666666667,33.267459542685174
2019-11-14,28.319999122619627,65.84782608695652,33.25237933893277
2019-11-15,28.659999084472656,132.28333333333333,36.17572303937777
2019-11-16,28.999999046325684,113.86666666666667,41.027818298289276
2019-11-17,29.33999900817871,71.59166666666667,37.717871492759514
2019-11-18,29.67999897003174,71.75833333333334,70.9293999534566
2019-11-19,30.019998931884764,95.36666666666667,84.5385343950511
2019-11-20,30.359998893737792,75.28750000000001,37.1596257764395
2019-11-21,30.69999885559082,68.02499999999999,35.03904437707206
2019-11-22,31.03999881744385,81.3,31.58261989710809
2019-11-23,31.379998779296876,67.35416666666667,23.910367019652767
2019-11-24,31.7199987411499,57.887499999999996,21.787657900063095
2019-11-25,32.05999870300293,69.02916666666667,21.6784371787071
2019-11-26,32.39999866485596,61.56666666666666,21.333790201083502
2019-11-27,32.73999862670898,63.81304347826087,19.241810811365667
2019-11-28,33.07999858856201,47.49411764705882,24.206550008898375
2019-11-29,33.41999855041504,153.925,24.516408814179158
2019-11-30,33.75999851226807,148.48260869565217,28.762122816772262
2019-12-01,34.099998474121094,103.10434782608696,31.137014389059914
2019-12-02,35.23225648941532,89.69565217391305,26.349728798891192
2019-12-03,36.364514504709554,51.34782608695652,21.20691746654302
2019-12-04,37.49677252000378,46.65833333333333,15.378849482772239
2019-12-05,38.62903053529801,62.560869565217395,18.906727916601085
2019-12-06,39.76128855059224,103.22916666666667,23.225451784014695
2019-12-07,40.89354656588647,105.25833333333333,23.328125564603397
2019-12-08,42.025804581180694,82.04166666666667,28.26831035918076
2019-12-09,43.15806259647492,108.22500000000001,44.368150398099715
2019-12-10,44.290320611769154,190.41666666666666,75.31350973977169
2019-12-11,45.42257862706338,126.80833333333334,78.31321013895831
2019-12-12,46.554836642357614,94.97500000000001,66.67631140544472
2019-12-17,52.216126718828754,126.2,27.629263854578312
2019-12-18,53.34838473412299,64.77499999999999,28.45706923437774
2019-12-19,54.480642749417214,58.24583333333334,50.75477247373783
2019-12-20,55.61290076471144,134.375,82.73614042764166
2019-12-21,56.74515878000567,128.63529411764708,81.42877163663798
2019-12-22,57.877416795299894,128.0,59.52679735798938
2019-12-23,59.00967481059413,75.89166666666667,45.18208847059668
2019-12-24,60.141932825888354,50.56666666666666,42.808492395352005
2019-12-25,61.27419084118259,123.35217391304347,29.592065509120857
2019-12-26,62.406448856476814,124.79583333333333,43.92272039410727
2019-12-27,63.53870687177104,103.84166666666665,38.710546590436934
2019-12-28,64.67096488706527,109.19583333333333,48.03085289495357
2019-12-29,65.8032229023595,114.77083333333333,50.080748792424856
2019-12-30,66.93548091765373,62.48333333333333,46.0121736267638
2019-12-31,68.06773893294795,36.704166666666666,35.47058007313808
2020-01-01,69.19999694824219,29.278260869565216,40.99584387518007
2020-01-02,68.1290293047505,53.64090909090908,61.33081207337909
2020-01-03,67.05806166125882,162.1875,139.35346316884534
2020-01-04,65.98709401776713,197.47916666666666,206.16222968783404
2020-01-05,64.91612637427545,156.59130434782608,126.53980263621634
2020-01-06,63.84515873078377,157.31666666666666,98.29184008935954
2020-01-07,62.77419108729209,153.25833333333333,82.5179640173701
2020-01-08,61.703223443800404,114.12916666666666,79.85935752685691
2020-01-09,60.63225580030872,88.9875,78.3745655041912
2020-01-10,59.561288156817035,65.125,83.87304291090913
2020-01-11,58.49032051332535,68.36190476190475,89.47945531190271
2020-01-12,57.419352869833666,48.175000000000004,64.69787336982336
